record_id,question_unique_id,question_hin,question_eng,subject,chapter,option1_hin,option1_eng,option2_hin,option2_eng,option3_hin,option3_eng,option4_hin,option4_eng,option5_hin,option5_eng,answer,solution_hin,solution_eng,collection,previous_of,video,type,airtable_table_name,exam,action,current_status,sync_code,error_report,error_description,created_date,section,year,date
recgA3t2V5KpJVCfd,21,"<p>दो समीकरण क्रमांक। और ॥ दिए गए हैं। दोनों समीकरणों को हल कीजिए और उचित उत्तर को चिह्नित कीजिए।</p>
<p>I. 3x<sup>2</sup>-&nbsp;6x + 55 = 0</p>
<p>II. 2y<sup>2&nbsp;</sup>+ 7y - 39 = 0</p>",,Mathematics,,x < y,,x≤y,,x>y,,x≥y,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recpVSyulGUtwBYYa,22,"एक दुकानदार तीन थोक दुकानों से समान अंकित मूल्य और क्रमशः 25%, 10% और 20% छूट वाली शर्टों खरीदता है। खरीदी गई शर्तों की संख्या का अनुपात 4: 
 6 : 5 है, तो कुल खरीद पर उसे कितनी प्रभावी छूट मिली?",,Mathematics,,\(15{1\over3}\%\),,\(16{2\over3}\%\),,\(16{1\over3}\%\),,\(14{2\over3}\%\),,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
rec5fFJNP7Qc7OwBF,23,"<p>यदि 16x<sup>2</sup>+ y<sup>2</sup>= 48 और xy = 2.x.y&gt;0 है, (64x<sup>3</sup> + y<sup>3</sup>) का मान ज्ञात कीजिए।</p>",,Mathematics,,240,,320 ,,340,,300,,,,B,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recQnocv5283RthGX,24,"एक स्कूल में लड़कियों की संख्या, कुल संख्या का 55% है। यदि स्कूल में सभी लड़कियों द्वारा प्राप्त औसत अंक 63.5 हैं और स्कूल के औसत अंक (लड़के और लडकियों को मिलाकर) 50 हैं। लड़कों द्वारा प्राप्त औसत अंक ज्ञात कीजिए। ",,Mathematics,,46,,32.5,,33.5 ,,35.5,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
rec1PvcnlFoVzkrCh,25,"न्यूटन के गति के दूसरे नियम के अनुसार किसी वस्तु के बल, त्वरण और द्रव्यमान के बीच क्या संबंध है?",,Mathematics,,बल = द्रव्यमान × त्वरण ,,बल = द्रव्यमान / त्वरण,,बल = त्वरण / द्रव्यमान,,बल = द्रव्यमान + त्वरण,,,,A,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recaJDb4ermO0vJXq,26,जब किसी संख्या n+3 को 6 से विभाजित किया जाता है तो शेषफल 5 बचता है। यदि 4n को 8 से विभाजित किया जाए तो शेष कितना होगा?,,Mathematics,,0,,5,,1,,2,,,,A,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recatUXk4A40geZXa,27,"12% वार्षिक ब्याज दर पर 3 वर्ष और 6 महीने में 5,040 रुपये का साधारण ब्याज अर्जित करने के लिए कितनी धनराशि का निवेश किया जाना चाहिए?",,Mathematics,,"15,000 रुपये",,"11,000 रुपये",,"12,000 रुपये ",,"9,000 रुपये",,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
reczINMCO35gbaVS6,28,"3 : 2, 4 : 7 और 49 : 52 का मिश्रित अनुपात ज्ञात कीजिए।",,Mathematics,,21 : 13,,7 : 13,,14 : 13,,21 : 26,,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recYH6sHOqNCzDY7W,29,"1 kg नमक के पैकेट का अधिकतम खुदरा मूल्य 33 रुपये तय किया गया है ताकि दुकानदार को 50%, लाभ मिले। दुकानदार इसे 27.5 रुपये में बेचता है, लेकिन प्रत्येक पैकेट से 250 g निकालता है। उसका प्रभावी लाभ (%) कितना है?",,Mathematics,,\(76{2\over3}\%\),,\(50{2\over3}\%\),,\(46{1\over3}\%\),,\(66{2\over3}\%\),,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recClvHdEr8ejg1DJ,30,"<p>त्रिज्या 4 cm और 4√3 cm तथा केंद्र A और B वाले दो वृत्त एक दूसरे को बिंदु C और D पर स्पर्श करते हैं। A और B के बीच की दूरी 8 cm है। बड़े वृत्त में जीवा CD द्वारा बनाए गए खंड का क्षेत्रफल कितना है? (cm² में)</p>
<p><img src=""https://image2.bigbooster.in/a4edddc4-1f7a-4e1c-b916-c213b1367718.png"" alt="""" width=""252"" height=""188""></p>",,Mathematics,,4π-8√3,,12π-4√3,,8π-12√3,,12π-8√3,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
rec4OhrDIokTU5Ep0,31,"एक बैग में 4 लाल, 5 पीली और 6 गुलाबी गेंदें हैं। दो गेंदें यादृच्छिक रूप से निकाली जाती हैं। यह प्रायिकता कितनी है कि कोई भी गेंद पीली न निकले?",,Mathematics,,2/7,,3/7 ,,5/14,,1/7,,,,B,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recnWs0fFCEdJp3hy,32,आरोही क्रम में निम्नलिखित में से कौन सा संबंध सही है? ⅰ) 3/5 < 2/7 <7/16 <4/5 <1/8 (ii) 1/8 <2/7 < 3/5 < 4/5 <7/16 (iii) 1/8 <2/7 <7/16 < 3/5 <4/5 (iv) 1/8 <2/7 <3/5 <4/5 <7/16,,Mathematics,,(iv),,(i),,(iii) ,,(ii),,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recTsqUweuLqtTnCk,33,"लड़के की वर्तमान आयु उसके पिता की आयु की 2/5 है। 6 वर्ष पहले, लड़के की आयु उसकी माँ की आयु से आधी थी। यदि उसकी माता की वर्तमान आयु 34 वर्ष है, तो उसके पिता की वर्तमान आयु ज्ञात कीजिए।",,Mathematics,,55 वर्ष,,60 वर्ष,,50 वर्ष ,,45 वर्ष,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recoKduHjEPNbq6aP,34,"<p>नीचे दी गई आकृति में ABC एक त्रिभुज है। बाह्य कोणों के लिए दो कोण समद्विभाजक खींचे गए जो D पर मिलते हैं। यदि ∠BDC/ ∠BAC = 4 है, तो ∠BAC का मान कितना है?</p>
<p><img src=""https://image2.bigbooster.in/3052ed6d-e693-47d9-a537-986d089ecb11.png"" alt="""" width=""260"" height=""167""></p>",,Mathematics,,10º,,30°,,40°,,20º,,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recy3HN5E4AjoIcWV,35,"एक त्रिभुज में, ABC, D और E क्रमशः भुजाओं AB और AC पर दो बिंदु हैं, इसलिए DE || BC और AD/BD = 4/5 है। △ABC के क्षेत्रफल और समलम्ब चतुर्भुज DECB के क्षेत्रफल का अनुपात ज्ञात कीजिए।",,Mathematics,,40 : 49,,49 : 23,,81 : 65 ,,65 : 49,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recwgbTWU3vhHrTTJ,36,"<p>मान ज्ञात कीजिए:</p>
<p>\(tan({π\over4}+A)×tan({3π\over 4}+A)\)</p>",,Mathematics,,-1,,1,,0,,CotA/2,,,,A,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recsaBH9FDRSgPx84,37,"<p>यदि {√x + (1/√x)} = 3 है, तो {x<sup>3</sup> + (1/x<sup>3</sup>)} -162 का मान ज्ञात कीजिए।</p>",,Mathematics,,154,,160 ,,133,,172,,,,B,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recqLYVv06K9jglKD,38,10 लोगों के एक समूह का औसत वजन 63 kg है। यदि इस समूह के 2 व्यक्तियों के स्थान पर 30 kg वजन वाला 1 व्यक्ति रख दिया जाए तो नए समूह का औसत 3 kg कम हो जाता है। समूह छोड़ने वाले व्यक्तियों का संयुक्त भार ज्ञात कीजिए।,,Mathematics,,120 ,,115,,110,,105,,,,A,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
reccFn8FfUg4Db3Eo,39,6 पुरुषों और 3 महिलाओं के समूह में से 2 पुरुषों और 2 महिलाओं की टीम चुनने की प्रायिकता कितनी है?,,Mathematics,,4/9,,5/7,,81/126,,5/14 ,,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recuk0Zy02ODXpDUv,40,"यदि a : b = 4 : 5 है, तो (2a+3b) : (3a + 2b) किसके बराबर है?",,Mathematics,,10 : 9,,23 : 22 ,,6 : 7,,22 : 23,,,,B,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recbsYiH7fUAOYRGb,41,"कितने वर्षों में 6000 रुपये पर 5% प्रति वर्ष की ब्याज दर से अर्जित साधारण ब्याज, 30 वर्षों में 2000 रुपये पर 4% प्रति वर्ष की दर से अर्जित साधारण ब्याज के बराबर होगा?",,Mathematics,,20 वर्ष,,6 वर्ष,,8 वर्ष ,,12 वर्ष,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recdPGX2FGzl3eoem,42,"यदि एक ठोस बेलन का वक्र पृष्ठीय क्षेत्रफल उसके कुल पृष्ठीय क्षेत्रफल का एक-तिहाई है, तो उसके व्यास और उसकी ऊंचाई का अनुपात ज्ञात कीजिए।",,Mathematics,,1 : 1,,5 : 2,,4 : 1,,2 : 1,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
reccZ02pYl2bDfP2d,43,"यदि किसी वस्तु का द्रव्यमान 2 kg है तथा त्वरण 3 m/s^2 है, तो वस्तु पर लगने वाला बल क्या है?",,Mathematics,,5N,,9N,,6N,,2N,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recFp2GainEGEM85p,44,\(lim_{x-0}x^2+x\:cosec\:x=?\),,Mathematics,,1,,∞,,0.1,,0,,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recNt4TyXI21R6LKG,45,"भारतीय टीम के 11 खिलाड़ियों का औसत वजन 2 kg बढ़ जाता है, जब 57 kg वजन वाले टीम के एक खिलाड़ी को एक नए खिलाड़ी से बदल दिया जाता है। नए खिलाड़ी का वजन कितना है?",,Mathematics,,61 kg,,73 kg,,79 kg ,,67 kg,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recgbIaP7UVbgoWvl,46,"11 खिलाड़ियों की एक क्रिकेट टीम में 2 विकेटकीपर और एक कप्तान हैं। यदि दो खिलाड़ियों को यादृच्छिक रूप से चुना जाता है, तो प्रायिकता ज्ञात कीजिए कि उनमें से एक कप्तान है और दूसरा विकेटकीपर है।",,Mathematics,,1/55,,3/110,,2/55 ,,2/45,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recOKQ8pXGBgd2qtE,47,"<p>यदि&nbsp;\(x^4+{1\over x^4}=727,x&gt;1,\)है, तो निम्न दिए का मान ज्ञात कीजिए।&nbsp;\((x-{1\over x})=?\)</p>",,Mathematics,,6,,5,,-6,,-5,,,,B,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recCVFk2BSWha5GH7,48,"यदि \((2x-{3\over x})=2\) है, तो निम्न x का मान ज्ञात कीजिए।",,Mathematics,,180,,220,,184 ,,328,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recOh0bwdm3y2AqcQ,49,"एक शहर की पुरुष जनसंख्या का प्रतिशत 56% है। शहर की कुल महिलाओं में से 20% की आयु 60 वर्ष से अधिक है, जबकि शहर की कुल पुरुष जनसंख्या में से 75% की आयु 60 वर्ष से कम या उसके बराबर है। 60 या उससे कम आयु के लोगों का कुल प्रतिशत कितना है?",,Mathematics,,78.6,,76.4,,79.8,,77.2 ,,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
rectYw91WE7dlEWLg,50,दो वस्तुओं A और B के अंकित मूल्य का अनुपात 5: 4 है। उन्हें क्रमशः 12% और 10% की छूट पर इस प्रकार बेचा गया कि दोनों वस्तुओं का कुल विक्रय मूल्य 16000 रुपये है। B का अंकित मूल्य (रुपये में) ज्ञात कीजिए।,,Mathematics,,8800,,10000,,8000 ,,7200,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recDbROtgNfpwgFSL,51,निम्नलिखित में से कौन सा करणी संख्याओं को उनके मान के बढ़ते क्रम में व्यवस्थित करना सही है?,,Mathematics,,"<p>150<sup>1/24</sup>, 14<sup>1/12</sup>, 6<sup>1/8</sup>, 2<sup>1/3</sup></p>",,"<p>6<sup>1/8</sup> 14<sup>1/12</sup>, 150<sup>1/24 </sup>,2<sup>1/3</sup></p>",,"<p>2<sup>1/3</sup>, 150<sup>1/24</sup>, 14<sup>1/12</sup>, 6<sup>1/8</sup></p>",,"<p>2<sup>1/3</sup>, 150<sup>1/24</sup>, 14<sup>1/12</sup>, 6<sup>1/8</sup></p>",,,,A,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recIL4wSsngM0Tot1,52,मान ज्ञात कीजिए \([(Sec2θ+1){\sqrt {Sec^2θ-1}}]×{1\over 2}(cotθ-tanθ)\),,Mathematics,,Cosecθ,,1,,Secθ,,0,,,,B,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recBw3nlkERSaqXBX,53,"<p>दो समीकरण क्रमांक। और ॥ दिए गए हैं। दोनों समीकरणों को हल कीजिए और उचित उत्तर को चिह्नित कीजिए।</p>
<p>1. 3x<sup>2</sup>-47x+184 = 0</p>
<p>II. 4y<sup>2</sup>-55y + 189 = 0</p>",,Mathematics,,x≥y,,x<y,,x≤ y,,x > y,,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recPgwvXDM6vgsIX4,54,एक दुकानदार बहुमूल्य धातु का एक घन बेचता है। उसका मानना है कि वह 62% लाभ पर बेचेगा। लेकिन वह बेचने से पहले बेईमानी से घन के किनारे को 10% तक कम कर देता है। उसका कमाया जाने वाला मूल लाभ (%) कितना है?,,Mathematics,,\(128{2\over 9}\%\),,\(126{4\over 9}\%\),,\(117{4\over 9}\%\),,\(122{2\over 9}\%\),,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recJFoxwdl3UykD9l,55,"राम का वेतन 25% बढ़ जाता है। उसका व्यय 7:11 के अनुपात में बढ़ता है। यदि उसके वेतन में केवल व्यय और बचत शामिल है, तथा उसकी वर्तमान बचत, वेतन वृद्धि से पूर्व की बचत से 10% अधिक है, तो वेतन वृद्धि से पूर्व के वेतन के प्रतिशत के रूप में उसका व्यय ज्ञात कीजिए।",,Mathematics,,31.81% ,,33.33%,,32.44%,,निर्धारित नहीं किया जा सकता,,,,A,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recSNewQeySG00N3t,56,<p>2<sup>8 </sup>× 7<sup>5</sup> × 14 के गुणनखंडों की संख्या ज्ञात कीजिए।</p>,,Mathematics,,70,,14,,35,,15,,,,A,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recIW8vMxqyFmpS2b,57,"<p>निम्नलिखित प्रश्न में दो कथन। और ॥ दिए गए हैं। दोनों समीकरणों को हल कीजिए और तदनुसार अपना उत्तर अंकित कीजिए।</p>
<p>I. x<sup>2</sup> + 16x + 64 = 0</p>
<p>II. y<sup>2</sup>&nbsp;- 16y + 64 = 0</p>",,Mathematics,,x > y,,x≥y,,x < y,,x ≤ y,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recskD6GJgE0Yd0l9,58,cos (90° - B) sin (C-A) + sin (90° + A) cos (B+C) - sin (90°-C) cos (A + B) का मान कितना है?,,Mathematics,,cos (B + C - A),,1,,sin (A + B - C),,0,,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
